#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100 keV - 10 MeV): 0.00624 ph cm^-2 s^-1 

IP LINLIN
DP 1.00000e+02 4.39649e-05
DP 1.27427e+02 2.94143e-05
DP 1.62378e+02 1.96686e-05
DP 2.06914e+02 1.31337e-05
DP 2.63665e+02 8.75140e-06
DP 3.35982e+02 5.78513e-06
DP 4.28133e+02 3.82402e-06
DP 5.45559e+02 2.52722e-06
DP 6.95193e+02 1.66789e-06
DP 8.85867e+02 1.09498e-06
DP 1.12884e+03 7.18875e-07
DP 1.43845e+03 4.71996e-07
DP 1.83298e+03 3.09412e-07
DP 2.33572e+03 2.01574e-07
DP 2.97635e+03 1.31316e-07
DP 3.79269e+03 8.55376e-08
DP 4.83293e+03 5.56784e-08
DP 6.15848e+03 3.61380e-08
DP 7.84760e+03 2.34223e-08
DP 1.00000e+04 1.50593e-08
EN
