#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100 keV - 10 MeV): 0.00029 ph cm^-2 s^-1 

IP LINLIN
DP 1.00000e+02 1.98787e-06
DP 1.27427e+02 1.36174e-06
DP 1.62378e+02 9.23771e-07
DP 2.06914e+02 6.23131e-07
DP 2.63665e+02 4.14902e-07
DP 3.35982e+02 2.76092e-07
DP 4.28133e+02 1.82632e-07
DP 5.45559e+02 1.20810e-07
DP 6.95193e+02 7.96570e-08
DP 8.85867e+02 5.25141e-08
DP 1.12884e+03 3.43896e-08
DP 1.43845e+03 2.25043e-08
DP 1.83298e+03 1.46648e-08
DP 2.33572e+03 9.54937e-09
DP 2.97635e+03 6.19982e-09
DP 3.79269e+03 4.02227e-09
DP 4.83293e+03 2.59497e-09
DP 6.15848e+03 1.67114e-09
DP 7.84760e+03 1.07175e-09
DP 1.00000e+04 6.86168e-10
EN
