#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100 keV - 10 MeV): 0.00119 ph cm^-2 s^-1 

IP LINLIN
DP 1.00000e+02 8.02961e-06
DP 1.27427e+02 5.50457e-06
DP 1.62378e+02 3.75779e-06
DP 2.06914e+02 2.55976e-06
DP 2.63665e+02 1.73098e-06
DP 3.35982e+02 1.16861e-06
DP 4.28133e+02 7.79997e-07
DP 5.45559e+02 5.18988e-07
DP 6.95193e+02 3.41103e-07
DP 8.85867e+02 2.22483e-07
DP 1.12884e+03 1.43351e-07
DP 1.43845e+03 9.10578e-08
DP 1.83298e+03 5.72122e-08
DP 2.33572e+03 3.51105e-08
DP 2.97635e+03 2.13760e-08
DP 3.79269e+03 1.25577e-08
DP 4.83293e+03 7.32036e-09
DP 6.15848e+03 4.09826e-09
DP 7.84760e+03 2.25943e-09
DP 1.00000e+04 1.20005e-09
EN
