#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV): 0.00033 ph/cm^2/s


IP LOGLOG
DP 100.0 2.9262225702143103e-06
DP 109.854 2.5477231685887844e-06
DP 120.679 2.2079783982302063e-06
DP 132.571 1.9047300730956765e-06
DP 145.635 1.6355692530990014e-06
DP 159.986 1.3979886367311106e-06
DP 175.751 1.1894238166192749e-06
DP 193.07 1.007314676198441e-06
DP 212.095 8.491681833826405e-07
DP 232.995 7.125558397255636e-07
DP 255.955 5.95168659399484e-07
DP 281.177 4.948349830034892e-07
DP 308.884 4.0952410352247855e-07
DP 339.322 3.373604280539862e-07
DP 372.759 2.766351774264081e-07
DP 409.492 2.2579573447448227e-07
DP 449.843 1.8345326154390237e-07
DP 494.171 1.4836487852921488e-07
DP 542.868 1.1943530815980305e-07
DP 596.362 9.570506012527244e-08
DP 655.129 7.63364459694491e-08
DP 719.686 6.060773744604208e-08
DP 790.604 4.78985650174572e-08
DP 868.511 3.768023645972929e-08
DP 954.095 2.9505458905858868e-08
DP 1048.11 2.2998077375925186e-08
DP 1151.4 1.784297078683827e-08
DP 1264.86 1.3779985469697633e-08
DP 1389.5 1.0593228674241999e-08
DP 1526.42 8.10601223089752e-09
DP 1676.83 6.174265716227462e-09
DP 1842.07 4.681174559474406e-09
DP 2023.59 3.532840075212237e-09
DP 2223.0 2.653927362872072e-09
DP 2442.05 1.984528662050746e-09
DP 2682.7 1.4771194257220484e-09
DP 2947.05 1.0944054869485761e-09
DP 3237.46 8.071117212831713e-10
DP 3556.48 5.925018559553539e-10
DP 3906.94 4.329542564871597e-10
DP 4291.93 3.1491513908534043e-10
DP 4714.87 2.280019314148804e-10
DP 5179.47 1.6431842524397588e-10
DP 5689.87 1.1787632723121881e-10
DP 6250.55 8.417217115140164e-11
DP 6866.49 5.982815998751097e-11
DP 7543.12 4.2329346291170524e-11
DP 8286.43 2.9810841089978444e-11
DP 9102.98 2.0898047567283327e-11
DP 10000.0 1.4582557227453965e-11
EN
