#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV): 0.00029 ph/cm^2/s


IP LOGLOG
DP 100.0 2.8291077920788563e-06
DP 109.854 2.501236996693186e-06
DP 120.679 2.1910663097483817e-06
DP 132.571 1.9017346004474128e-06
DP 145.635 1.6354554114044038e-06
DP 159.986 1.3935554936627128e-06
DP 175.751 1.1765374364814844e-06
DP 193.07 9.841929015992225e-07
DP 212.095 8.157414402177967e-07
DP 232.995 6.699138815432518e-07
DP 255.955 5.45103202458739e-07
DP 281.177 4.3947633547575914e-07
DP 308.884 3.5106603197410566e-07
DP 339.322 2.7786569665676583e-07
DP 372.759 2.1791014775066035e-07
DP 409.492 1.6932146029197036e-07
DP 449.843 1.303606330185359e-07
DP 494.171 9.944296425256725e-08
DP 542.868 7.516137683365527e-08
DP 596.362 5.6287815332013e-08
DP 655.129 4.176626770100491e-08
DP 719.686 3.070676793127628e-08
DP 790.604 2.2368593831423565e-08
DP 868.511 1.6144969416728107e-08
DP 954.095 1.1545985628983093e-08
DP 1048.11 8.181329467568619e-09
DP 1151.4 5.743762088837048e-09
DP 1264.86 3.995542986541537e-09
DP 1389.5 2.753917503757577e-09
DP 1526.42 1.880718120568088e-09
DP 1676.83 1.272605998344435e-09
DP 1842.07 8.531994954048221e-10
DP 2023.59 5.667679879523294e-10
DP 2223.0 3.730377201310003e-10
DP 2442.05 2.432785036598598e-10
DP 2682.7 1.5719493392241583e-10
DP 2947.05 1.0064185925408437e-10
DP 3237.46 6.384203374552463e-11
DP 3556.48 4.012680306087037e-11
DP 3906.94 2.4989384354590042e-11
DP 4291.93 1.541963939403004e-11
DP 4714.87 9.427179390251189e-12
DP 5179.47 5.710739944967793e-12
DP 5689.87 3.427602980562047e-12
DP 6250.55 2.0384027235375013e-12
DP 6866.49 1.201104877064693e-12
DP 7543.12 7.01243616595255e-13
DP 8286.43 4.056493497853718e-13
DP 9102.98 2.325036336426552e-13
DP 10000.0 1.3203898046059962e-13
EN
